date,TweetId,Tweet,created_at,geo,place,coordinates,location;;;;;;;;
;;;;;;;;
"2020-12-04  12:23,1334820682723627011,""RT @MesutOzil1088: Nowadays there are still many discussions in public about if Islam is a part of the German, French or European society.…"",2020-12-04 11:23:45,,,,My Studio ";;;;;;;;
"2020-12-04  12:23,1334820679787667456,""RT @Speaker_CoJ: The engagement will boast speakers such as the Gauteng MEC for Public Safety Faith Mazibuko, MEC for Sports, Arts and Cult…"",2020-12-04 11:23:44,,,,""Johannesburg, South Africa""";;;;;;;;
"2020-12-04  12:23,1334820675358429184,""RT @MaloomTiger: All Government Organizations shall develop a culture that ";;;;;;;;
value complaints and is more likely to:;;;;;;;;
"#عوام_کی_آواز_وزیراعظم_…"",2020-12-04 11:23:43,,,,";;;;;;;;
"2020-12-04  12:23,1334820673877757952,""RT @naqvimukhtar: After abolition of the Article 370, rights of the people of Jammu-Kashmir and Leh-Kargil regarding trade, agriculture, em…"",2020-12-04 11:23:43,,,,";;;;;;;;
"2020-12-04  12:23,1334820673051643909,""RT @Anaes_Journal: 🔐""""...where the real work is needed is changing the culture of anaesthesia in the UK to one that recognises how and why r…"",2020-12-04 11:23:42,,,,";;;;;;;;
"2020-12-04  12:23,1334820673047367681,""Pakistan Citizen’s Portal (PCP) empowers the citizens by engaging them in policy and ";;;;;;;;
"decision making processes thr… https://t.co/QSFA9bQYZF"",2020-12-04 11:23:42,,,,";;;;;;;;
"2020-12-04  12:23,1334820669654233089,""RT @odeyemi_yemi: Omo, visitors no dey give children money again o whats happening to our African culture"",2020-12-04 11:23:42,,,,🇳🇬 ";;;;;;;;
"2020-12-04  12:23,1334820668827979778,""RT @MesutOzil1088: Nowadays there are still many discussions in public about if Islam is a part of the German, French or European society.…"",2020-12-04 11:23:41,,,,Home";;;;;;;;
"2020-12-04  12:23,1334820667150176261,Dealing with youth vigilantism and its impact on a democratic civil culture requires effective youth engagement str… https://t.co/AlURtRH0Ln,2020-12-04 11:23:41,,,,""Accra, Ghana""";;;;;;;;
"2020-12-04  12:23,1334820662125408259,""RT @MaloomTiger: Be accessible– this means being open to public complaints about standards of ";;;;;;;;
service delivery, .;;;;;;;;
"All Government Organizat…"",2020-12-04 11:23:40,,,,";;;;;;;;
2020-12-04  12:23,1334820662125318145,RT @narendramodi: Shri FC Kohli Ji will be remembered for his pioneering contributions to the world of IT. He was at the forefront of insti…,2020-12-04 11:23:40,,,,;;;;;;;;
"2020-12-04  12:23,1334820654252580865,""RT @stpi_kolkata: Dr. @Omkar_Raii, DG, #STPIINDIA in his Keynote Address, cited, “The #Government today is very proactive in #promoting the…"",2020-12-04 11:23:38,,,,""Hyderabad, India""";;;;;;;;
"2020-12-04  12:23,1334820653980114945,""RT @austin_walker: When I say that D&amp";"D's problems with race are deeper than stat bonuses or even innate morality, this is the sort of thing…"",2020-12-04 11:23:38,,,,East Coast USA";;;;;;;
"2020-12-04  12:23,1334820651757006848,""RT @ringerpodcasts: We’re talking with @chaelinCL about representing Korean culture and breaking the mold. #DaveChangShow";;;;;;;;
"https://t.co/goui…"",2020-12-04 11:23:37,,,,";;;;;;;;
"2020-12-04  12:23,1334820642336673793,""RT @TimJDillon: The entire culture war in media, academia, entertainment, etc is about mediocre people creating worlds in which they can th…"",2020-12-04 11:23:35,,,,";;;;;;;;
"2020-12-04  12:23,1334820633927028736,""RT @davidfrawleyved: Perhaps the first Prime Minister to truly understand India, both its ancient culture and its current global relevance,…"",2020-12-04 11:23:33,,,,India";;;;;;;;
"2020-12-04  12:23,1334820628256452608,""RT @MesutOzil1088: Nowadays there are still many discussions in public about if Islam is a part of the German, French or European society.…"",2020-12-04 11:23:32,,,,";;;;;;;;
"2020-12-04  12:23,1334820627270819844,""AT THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES";;;;;;;;
"Women of the Comoros Diaspora in Cinema, Visual Media and Screen Cultu… https://t.co/ykujuRvNYB"",2020-12-04 11:23:31,,,,";;;;;;;;
"2020-12-04  12:23,1334820624221388802,The most striking images of 2020 - BBC Culture https://t.co/UDNBn1UInR,2020-12-04 11:23:31,,,,""Melbourne, Sydney""";;;;;;;;
"2020-12-04  12:23,1334820623508533249,""@cutukitten how is bdsm rape culture...... I seriously don't,,,"",2020-12-04 11:23:31,,,,she/her";;;;;;;;
"2020-12-04  12:23,1334820620605992961,""RT @HeleneBismarck: The populist method in the UK consists of two key elements: ";;;;;;;;
"1) the emotionalization and over-simplification of highly…"",2020-12-04 11:23:30,,,,Henley on Thames";;;;;;;;
"2020-12-04  12:23,1334820619112882176,""RT @safifesse: hey #PortfolioDay ! I'm Safiya, an Amazigh illustrator and character designer &amp";" i love infusing my culture in the fantasy ge…"",2020-12-04 11:23:30,,,,";;;;;;;
"2020-12-04  12:23,1334820615618875392,Flex culture killing us,2020-12-04 11:23:29,,Santa Barbara,,""California, USA""";;;;;;;;
"2020-12-04  12:23,1334820606802583552,""RT @odeyemi_yemi: Omo, visitors no dey give children money again o whats happening to our African culture"",2020-12-04 11:23:27,,,,Citadel";;;;;;;;
"2020-12-04  12:23,1334820605410029568,RT @shame_medicine: JOB - PhD studentship in Art History and Visual Culture as part of the @shame_medicine project - to research how medici…,2020-12-04 11:23:26,,,,""England, United Kingdom""";;;;;;;;
"2020-12-04  12:23,1334820604323659777,""RT @ICCR_Delhi: #Contest: For all the culture enthusiasts, we are here with #CultureMania contest. Participate by answering a simple questi…"",2020-12-04 11:23:26,,,,INDIA";;;;;;;;
2020-12-04  12:23,1334820600230064129,@ThisisLLN people calling it rape culture and wtv idk im done w this app,2020-12-04 11:23:25,,,,they/them|22;;;;;;;;
2020-12-04  12:23,1334820595339587586,@2020tangibles @12thImam 786 Praise-thank ALLAH CREATOR UNSEEN &amp; i swear by ALLAH UNSEEN best thing ADOS can do is… https://t.co/l2U0UET1Ry,2020-12-04 11:23:24,,,,;;;;;;;
"2020-12-04  12:23,1334820586560827395,""RT @martialdeyforyo: """"No matter how far we stray from our roots, the culture runs deep.""""";;;;;;;;
;;;;;;;;
"Best THREAD you'll see today... https://t.co/7JwF…"",2020-12-04 11:23:22,,,,";;;;;;;;
2020-12-04  12:23,1334820584648179714,Congrats 2 Gaurav Saini on da successful defence of his PhD: “India's Strategic Culture: A Study of Indian Thinking… https://t.co/paz8ctTOmz,2020-12-04 11:23:21,,,,New Delhi;;;;;;;;
2020-12-04  12:23,1334820580927782912,RT @foryoojeong: It’s NoJam culture 😂😂 They just voted each other https://t.co/pc3s42fc9W,2020-12-04 11:23:20,,,,;;;;;;;;
"2020-12-04  12:23,1334820578411360258,@CHARYAANR Jaha me kam karti hu waha employees ki mental health se barh k kuch nhe. Work culture different ha yaha.,2020-12-04 11:23:20,,Karachi,,""Karachi, Pakistan""";;;;;;;;
"2020-12-04  12:23,1334820577232621570,""I never admired the hip hop culture and somehow disliked the so called """"yo yo stars"""".. Logon ko aaj pata chal raha… https://t.co/9HpxqTCHlO"",2020-12-04 11:23:20,,,,""Himachal Pradesh, India""";;;;;;;;
"2020-12-04  12:23,1334820574233759744,""RT @nytimesarts: In this new documentary, Shane MacGowan's  zest for life and undeniable love of Irish culture is conveyed in a stew of mov…"",2020-12-04 11:23:19,,,,United Kingdom";;;;;;;;
"2020-12-04  12:23,1334820571524321280,""RT @HelenaGrimesArt: It costs €0 to share my work , but it would mean the world to me 🦊";;;;;;;;
;;;;;;;;
"My name is Helena Grimes and I am an artist and il…"",2020-12-04 11:23:18,,,,Ireland..Eire";;;;;;;;
2020-12-04  12:23,1334820567606841344,RT @_anetxu: True bi culture,2020-12-04 11:23:17,,,,España;;;;;;;;
2020-12-04  12:23,1334820565924917248,@wouter_decoster @JoseLCadavid @mbeisen @David_desJ @manoliskellis In that case what Manolis says is true: Smart pe… https://t.co/M5w37UEvzf,2020-12-04 11:23:17,,,,;;;;;;;;
